y_real,y_pred_orig,y_pred_clean,residuo_orig,residuo_clean
893999.9999999998,755247.9081377443,804509.4782867696,138752.09186225547,89490.52171323018
165000.00000000015,133291.65174455664,126488.18486506803,31708.348255443503,38511.81513493211
1150000.0000000005,747370.2844526432,727750.469011258,402629.7155473572,422249.5309887425
202055.0,355823.0544793826,372037.11342128593,-153768.05447938258,-169982.11342128593
175000.00000000012,350643.9713965494,367118.5836443141,-175643.97139654926,-192118.58364431397
213630.00000000003,277130.5480335827,281098.55040491966,-63500.54803358266,-67468.55040491963
123050.00000000004,148960.5804351827,145754.31133459046,-25910.580435182652,-22704.311334590413
253000.0000000001,322643.5416939701,302186.874445889,-69643.54169397001,-49186.87444588894
389000.00000000035,338481.9618585735,338505.3702902125,50518.03814142686,50494.62970978784
1429999.9999999995,681711.0157509154,700420.6031256183,748288.9842490841,729579.3968743812
339999.99999999994,334562.75171972247,311348.6290416428,5437.248280277476,28651.370958357118
132990.00000000003,138421.55145384846,147903.00287455184,-5431.551453848428,-14913.002874551807
884000.0000000002,258565.7481291944,236524.95831125884,625434.2518708059,647475.0416887414
649999.9999999995,296219.6860199629,309039.5952805121,353780.31398003665,340960.4047194874
296800.00000000006,264104.3702370573,269494.98300971696,32695.629762942786,27305.016990283097
294999.9999999998,210216.8512359833,204887.8700652483,84783.14876401651,90112.12993475152
148000.00000000015,225245.96754804882,209443.14086175765,-77245.96754804868,-61443.14086175751
1200000.0000000005,485817.01398448844,495260.65286323876,714182.986015512,704739.3471367618
287999.9999999999,164312.19542750577,161054.02882355126,123687.80457249412,126945.97117644863
367500.0000000003,253896.77828591122,248052.7074376035,113603.22171408907,119447.29256239679
610000.0000000005,481223.4871655,511969.1736440361,128776.51283450046,98030.82635596435
97710.00000000001,170499.58558222384,182465.18047282525,-72789.58558222382,-84755.18047282523
99000.00000000004,167429.2458523871,156261.43783836116,-68429.24585238706,-57261.43783836112
374399.9999999999,190966.74579912508,197143.5900455478,183433.2542008748,177256.40995445207
912999.9999999992,741287.4527937168,799476.2050115998,171712.54720628238,113523.79498839937
375000.00000000006,440464.35542036034,494943.70429725654,-65464.35542036028,-119943.70429725648
225000.00000000015,363283.15585763013,373813.409638632,-138283.15585763,-148813.40963863183
588000.0,185359.12874474135,194172.7745543883,402640.8712552587,393827.2254456117
1320000.000000001,827420.3590522058,894609.9232923584,492579.6409477951,425390.0767076425
490000.0,247457.1361155288,264022.7168971751,242542.8638844712,225977.28310282488
634999.9999999997,227767.76376105918,227624.0727307366,407232.2362389405,407375.9272692631
259999.9999999998,172270.69121313601,166241.5675370457,87729.30878686378,93758.43246295411
304999.99999999977,214783.30401485832,217976.41440292922,90216.69598514144,87023.58559707055
469699.99999999977,123903.45143562694,124508.14417341277,345796.5485643728,345191.855826587
157999.99999999997,170054.78367738973,178587.82874027136,-12054.783677389758,-20587.82874027139
577500.0000000001,178132.539285912,181973.05821343677,399367.4607140881,395526.9417865634
86999.99999999994,115411.93131258493,108684.70977549198,-28411.931312584988,-21684.70977549204
471999.9999999998,349659.8500107567,369536.5075830197,122340.14998924313,102463.49241698015
440000.0000000002,441721.21619079006,418705.93572713045,-1721.2161907898844,21294.064272869728
139000.00000000003,181996.9774999658,169364.66172437975,-42996.97749996578,-30364.661724379723
1459999.999999999,662839.4102696637,694372.0774885786,797160.5897303354,765627.9225114204
142000.0,270916.2161810807,263710.63675648125,-128916.21618108067,-121710.63675648125
385000.00000000023,222441.86956923475,218747.35294710545,162558.13043076548,166252.64705289478
205000.0,201902.8253824706,204522.95699625983,3097.17461752941,477.0430037401675
1284999.999999999,904504.5577713739,941265.0904822509,380495.4422286252,343734.90951774816
311444.9999999999,312555.83994315274,308372.8908816308,-1110.8399431528524,3072.1091183690587
231999.99999999997,194104.22462293954,196915.54571316417,37895.77537706043,35084.4542868358
244600.00000000006,211060.36199184568,221824.33916311886,33539.638008154376,22775.6608368812
80000.0,89030.54161296981,85183.01688096538,-9030.541612969813,-5183.016880965384
183000.00000000012,190150.23711021655,180394.99222666692,-7150.2371102164325,2605.0077733332
624000.0000000006,294595.5083096378,321528.3055300959,329404.4916903628,302471.6944699047
159999.99999999997,128414.99025088774,122625.96848779345,31585.00974911223,37374.03151220652
215000.0,263272.37981370004,247737.9863379693,-48272.37981370004,-32737.986337969312
343000.00000000006,216675.58809673553,228967.75123632865,126324.41190326452,114032.2487636714
594999.9999999997,289855.9317324034,305403.36037695076,305144.06826759625,289596.6396230489
255000.0000000001,573249.4173279982,552420.6043374204,-318249.4173279981,-297420.6043374203
278000.0000000002,311588.4274068433,318940.9059938489,-33588.42740684311,-40940.90599384875
106499.99999999996,172955.95527089058,166746.60287725762,-66455.95527089063,-60246.60287725767
304999.99999999977,343341.8233155548,349547.47133069753,-38341.823315555055,-44547.471330697765
890999.9999999994,922858.4010598591,1002310.9920905037,-31858.401059859665,-111310.99209050427
339999.99999999994,758620.2921633256,746305.7224652605,-418620.29216332565,-406305.7224652606
390000.00000000035,150419.86996090543,153963.69304440607,239580.13003909492,236036.30695559428
354999.9999999998,344593.1455038702,358613.3966315176,10406.854496129614,-3613.396631517797
287000.0000000001,217393.06938465676,222309.2986616784,69606.93061534336,64690.70133832173
90000.00000000001,195276.9496051655,196323.6074911551,-105276.94960516547,-106323.60749115508
120000.00000000004,164782.21477477322,172214.96106402398,-44782.21477477318,-52214.96106402394
364000.00000000006,337166.4988979417,369911.48411324737,26833.501102058333,-5911.484113247308
355900.0000000001,347728.37790564424,354416.25271277234,8171.622094355873,1483.7472872277722
249999.9999999998,283882.92088494916,304400.3103716438,-33882.92088494936,-54400.31037164401
485999.9999999996,204331.97724790414,209013.80156679003,281668.0227520955,276986.19843320956
170000.00000000012,394708.08145688433,391753.82032699033,-224708.08145688422,-221753.82032699022
85500.00000000006,126965.74050266246,124042.23483875333,-41465.740502662404,-38542.23483875327
1590000.000000001,619969.3775191528,746577.1828685943,970030.6224808481,843422.8171314066
129099.99999999994,165203.1944128621,170039.7350333101,-36103.194412862154,-40939.735033310164
398999.99999999977,360619.37096617016,332809.9585886273,38380.62903382961,66190.04141137248
166400.00000000003,149953.7045911532,144087.46611156737,16446.29540884684,22312.533888432663
1140000.0000000002,853054.1075838418,847568.8950424517,286945.89241615846,292431.10495754855
250999.99999999988,209102.11952681892,221204.33316096378,41897.880473180965,29795.6668390361
289998.9999999999,282654.5789626013,284808.8155548194,7344.42103739857,5190.1844451804645
181000.00000000006,295606.1620957908,293140.163723731,-114606.16209579073,-112140.16372373095
594999.9999999997,207505.8275403446,212377.99755606946,387494.1724596551,382622.0024439302
785000.0000000006,357864.9077811956,379665.227573809,427135.092218805,405334.7724261916
121000.00000000003,132558.33527419032,125425.11179910552,-11558.335274190293,-4425.1117991054925
329000.0000000003,215991.02100412783,229784.42271516728,113008.97899587246,99215.57728483301
180000.00000000003,255879.23297017996,260631.92270842512,-75879.23297017993,-80631.92270842509
127999.99999999997,250845.36939901795,253632.47904198366,-122845.36939901797,-125632.4790419837
284999.99999999994,158000.3078269508,151111.74543071564,126999.69217304914,133888.2545692843
223650.0,237504.8164442753,254756.07534679896,-13854.81644427529,-31106.075346798956
181049.99999999985,158863.302884828,159538.30019192398,22186.697115171846,21511.69980807588
227000.0,295908.3484766732,282238.0351258494,-68908.34847667319,-55238.03512584942
341000.0000000002,473929.17396425345,465902.58439240645,-132929.17396425328,-124902.58439240628
177999.99999999994,93495.86705580499,89273.78983809245,84504.13294419495,88726.2101619075
349999.9999999997,274839.8208865379,260839.43416918954,75160.17911346181,89160.56583081017
385000.00000000023,358895.0912062942,338088.96488924837,26104.90879370604,46911.035110751865
805999.9999999997,315358.7751194923,330983.62950943434,490641.22488050733,475016.3704905653
416000.0,249789.77285398357,238339.76180765504,166210.22714601643,177660.23819234496
711000.0000000001,446436.28034752386,433099.4754541755,264563.71965247625,277900.5245458246
116999.99999999991,140333.82989270624,133943.198211241,-23333.82989270633,-16943.198211241077
780000.0000000001,368916.9979809377,366471.3525595655,411083.0020190624,413528.6474404346
343999.99999999977,243120.61333909526,245317.41097757738,100879.3866609045,98682.58902242238
554000.0,443558.3368517573,440478.08332726243,110441.66314824269,113521.91667273757
112999.99999999993,154132.17522802143,143504.85266948957,-41132.1752280215,-30504.852669489643
306499.9999999999,178132.38674049432,187184.84868204576,128367.61325950557,119315.15131795412
473000.00000000006,496199.6213307399,532680.459418151,-23199.621330739814,-59680.45941815089
790000.0000000003,348632.6024202265,356259.0865507616,441367.39757977385,433740.91344923875
714999.9999999995,304062.15599379555,294321.5839839872,410937.844006204,420678.4160160123
698999.9999999995,249737.57903930097,234258.55517305798,449262.42096069857,464741.4448269416
468999.9999999998,191192.1234183745,187628.89484170778,277807.8765816253,281371.10515829205
620000.0000000005,236525.28792733606,235075.19651653626,383474.7120726644,384924.8034834642
96999.99999999999,119835.05229468284,119640.4154763805,-22835.052294682857,-22640.415476380513
39989.99999999999,131237.23266874882,134955.3658670112,-91247.23266874882,-94965.36586701119
390999.99999999977,604425.7855252208,610013.6381212295,-213425.78552522103,-219013.6381212297
398999.99999999977,316547.12270348036,303625.5768496471,82452.87729651941,95374.42315035267
169000.00000000012,215334.69368719574,216215.88276348013,-46334.69368719563,-47215.88276348001
188999.99999999988,200747.80719152107,198465.38749927792,-11747.807191521191,-9465.387499278033
240000.00000000003,224257.14796059227,211558.9845207457,15742.852039407764,28441.015479254333
158999.99999999997,137499.92532109126,130203.07855740214,21500.074678908713,28796.921442597828
53599.99999999999,202507.8801247328,213421.3930322652,-148907.8801247328,-159821.3930322652
530000.0000000003,363000.93481803895,416413.50611286255,166999.0651819614,113586.4938871378
84499.99999999994,153107.547492139,154303.33934396104,-68607.54749213907,-69803.3393439611
263749.99999999994,317345.6808533026,333606.72305920254,-53595.68085330265,-69856.7230592026
208740.00000000015,154982.38776923213,157966.93648458915,53757.61223076802,50773.06351541099
86000.00000000001,119502.52625152303,117807.04481830302,-33502.52625152301,-31807.04481830301
