nb_rooms,nb_bedrooms,nb_parking_places,nb_boxes,nb_photos,has_a_balcony,nb_terraces,has_a_cellar,has_a_garage,has_air_conditioning,last_floor,upper_floors,price,has_energy_cert,has_ghg_value,dist_paris,dist_lyon,dist_marseille,dist_toulouse,dist_bordeaux,dist_nice,dist_nantes,dist_lille,dist_min_ciudad,log_size,property_group_appartement,property_group_lujo,property_group_maison
4.0,3.0,0,0,8,0,0,1,1,0,0,0,133125,1,1,617.21733175797,227.13215263069497,68.75168728193063,349.881840715607,518.2502159124108,119.27651902781784,683.9613776203739,782.8316752091474,68.75168728193063,4.30406509320417,True,False,False
3.0,2.0,0,0,5,0,0,0,1,0,0,0,40000,1,1,576.5603251554303,201.0762689467909,85.99295525079584,273.10088127424,439.268575197152,198.45737699366364,613.62035668666,753.6910841076757,85.99295525079584,4.1588830833596715,True,False,False
6.0,4.0,0,0,17,0,0,0,1,0,0,0,402800,1,1,438.7159622037381,661.289968243371,840.2865647199691,593.1108367526066,388.30085333187765,937.3766979777555,147.6474937759673,563.9556058908387,147.6474937759673,4.795790545596741,False,False,True
4.0,3.0,1,0,15,0,0,1,0,0,0,0,200000,1,1,700.5150385203962,309.0199564363478,102.02582292843142,419.98575791328216,600.7346078860019,68.61252170249364,774.2783283290324,858.9723858892606,68.61252170249364,4.553876891600541,True,False,False
16.0,10.0,0,1,6,1,0,1,0,0,0,0,364000,0,0,563.1985618922347,389.5703915768228,388.79619697306,75.60398787034615,138.51287682188766,533.2610106222413,402.4561045542577,766.7073873758509,75.60398787034615,5.968707559985366,False,False,True
4.0,2.0,0,0,13,0,0,0,0,0,0,0,266000,0,0,512.6920619994613,150.65645004278517,152.51716733682858,250.58338765208796,392.0647267193166,246.98952077607237,550.7102805655437,693.4686501677198,150.65645004278517,4.74493212836325,False,False,True
2.0,1.0,0,0,6,0,0,0,0,0,0,0,99900,1,1,57.78223754121986,432.14256894458066,705.4290364154291,644.8421331871168,556.4624383020852,720.6295499323079,388.41562618283433,145.98587433756754,57.78223754121986,6.0014148779611505,True,False,False
3.0,2.0,0,0,8,0,1,0,0,0,0,0,275600,1,1,634.5166623718006,535.1663810223791,541.3402289413996,222.63341286743244,135.22420686494686,689.1104515483497,386.93563100728034,833.7107724418926,135.22420686494686,4.060443010546419,True,False,False
4.0,3.0,1,0,9,0,1,0,0,0,0,0,495000,0,0,57.220443203395654,334.34535764001663,603.5153236142843,541.6866994202576,468.4053475916634,628.536198118257,343.8032893459974,249.49289145163445,57.220443203395654,4.770684624465665,False,False,True
2.0,1.0,0,0,2,0,1,0,0,0,0,0,123625,1,1,345.8164113628673,135.84126409049279,330.8149128550818,275.0514409381895,305.25172867708153,402.57588062714416,388.97854366056686,538.4962230830149,135.84126409049279,3.7376696182833684,True,False,False
4.0,3.0,1,0,10,0,1,0,1,0,0,0,795000,0,0,694.1533483882083,305.04319648546544,144.6791218710621,457.5637264969655,630.2666244912881,20.360703954833273,790.0164994175318,844.307399011386,20.360703954833273,4.564348191467836,True,False,False
7.0,4.0,0,0,10,0,0,0,0,0,0,0,267500,0,0,466.94809644409435,306.42215914998104,369.11060592229876,126.66573364062616,141.4260191414801,495.59770667218584,349.2266184611322,670.2677332215615,126.66573364062616,5.170483995038151,False,False,True
5.0,3.0,1,0,5,0,0,0,0,0,0,0,39000,0,0,342.63551917538354,255.7146831580831,499.7002602856887,608.7040867740149,639.706779441004,446.30614516777035,618.421227695009,417.12998352546805,255.7146831580831,4.8283137373023015,True,False,False
5.0,3.0,1,0,17,0,0,0,0,0,0,0,980000,1,1,705.870069395664,314.3851329192113,99.33038450170899,417.8845600137573,600.362015457808,75.96641096379952,776.4078412723854,865.23999723498,75.96641096379952,4.442651256490317,False,True,False
